,observation_1,observation_2,hypothesis_1,hypothesis_2,label
2714,Tom's phone was on low battery.,The bus driver let him charge his phone with a car charger.,He was worried he would be able to talk to his mother as instructed.,He was worried he would not be able to talk to his mother as instructed.,2
2715,James wanted a sandwich.,"The bread was moldy, so James didn't make a sandwich.",James noticed the bread smelled odd.,James noticed the bread smelled delicious.,1
2716,Harold only had two plates to eat off of.,Now he has extra plates to eat off of.,Harold bought more plates.,they tried to stop.,1
2717,Fred goes to a candy store.,Hill wallet is empty now.,Fred bought candies for half of his money.,Fred bought candies for all of his money.,2
2718,"Adam needed to go to the store, but his car would not start.",He made it to the store quickly.,Adam called an Uber.,Adam was waiting for an Uber.,1
2719,Jesse had social phobia.,He isn't afraid of what people think of him anymore.,Jesse went to a tutor.,Jesse went to a therapist.,2
2720,Ben and his brother made a secret clubhouse.,Ben and his brother felt safe knowing no girl could enter!,Ben made a rule that no girls were allowed.,Ben made a rule that all girls were allowed.,1
2721,Bill has three cats.,Now his cats are very placid.,bill screams at the cats constantly.,Bill screams at the walls constantly.,1
2722,Jane stepped atop the stool and tried to mount the tall horse.,This is how Jane's first and last horse riding lesson ended.,Jane's pants ripped and she was embarrassed.,Jane's pants fit and she was comfortable.,1
2723,I woke up today and it was snowing.,It turned out really great.,The snow melted before I could go sledding.,I went sledding in the snow.,2
2724,My family and I saved up for ages to take a trip together.,It was a vacation I will remember forever.,I went to Paris with my family.,My family went to Paris without me.,1
2725,Today Timmy jumped and played in the mud.,Timmy was finally clean.,Timmy had to take a long bath after.,His mom wouldn't let him inside the house all muddy so she hosed him off on the patio.,1
2726,Mary had a dream of becoming a singer.,"She decided to give it her all, and the show was great.",Mary started practicing and got a show.,Mary started yelling and got a audience.,1
2727,Lucy had just come home from the store.,"There, she was able to pick up some corn.",She wanted to make a cake.,She wanted to make a veggie stir fry.,2
2728,Ben was married to his high school sweetheart.,His wife was proud of him.,Ben couldn't remember anything about the day he proposed.,Ben remembered what his wife was wearing the day he proposed.,2
2729,Arnold loves to run with his friends.,"Finally, Arnold was able to beat Billy in a race.",Arnold decided to stop running.,Arnold practiced his running everyday.,2
2730,George decided that he needed a new hat.,George was happy to have a new hat.,George never bought a new hat.,George bought a new hat.,2
2731,An old man was working in his garden one day.,They came and safely removed the lizard to its natural habitat.,There was a lizard so the man called animal control.,There was an old man so the lizard called animal control.,1
2732,Brad was out on his boat on the lake one day.,He had to wait hours until a passing boater saw his distress.,Brad heard the motor build up nicely.,Brad heard the motor conk out.,2
2733,The Smith family decided to finally get a puppy.,"So instead of one puppy, they took home two.",The Smiths saw two puppies asleep entwined together as brothers.,The Smiths saw two kittens asleep entwined together as brothers.,1
2734,Daniel had been in jail on drug charges for ten years.,He decided to stay with them and not get any drugs after all.,Daniel was never let out of jail and his family was there too.,Daniel was let out of jail and his family was there.,2
2735,Tim was tired one evening.,But he wasn't able to fall asleep until 6 AM.,Tim tried to go to sleep early.,Tim tried to go to sleep late.,1
2736,Mark realized he was overweight and decided to go on a diet.,"The label said it was 100 calories, not 10, thanks to a smudge on it.",Mark bought high calorie foods.,Mark bought low calorie foods.,2
2737,The car arrived at the gates of the castle.,He was led inside after a brief exchange.,The security was approached by the castle.,The occupant was approached by security.,2
2738,Jack bakes a pie for baking contest.,Jack is shocked when he comes in last in the baking contest.,he worked very hard and is usually the best at what he does.,he failed very hard and is usually the worst at what he does.,1
2739,Jim thought he was good with rhyming.,Jim decided never to take the advice of his friends.,his dog told him to a recital which failed.,His friends told him to do a recital which failed.,2
2740,"One day, police were investigating a crime scene.",The police put on a community event to raise money.,Victim needed money for drugs.,Victim needed money for funerals.,2
2741,Tom decided to play a prank on Dick.,Dick had a heart attack and died on the scene.,Dick's prank wasn't very nice.,Toms prank wasn't very nice.,2
2742,Martha got up for work one morning.,"The flooding destroyed a lot of property, but Martha was safe.",It was pouring outside because of the storm.,It wasn't pouring outside because of the drought.,1
2743,"John wanted pizza, but he was broke.",John devoured his pizza.,His friend didn't pay either.,His friend payed instead.,2
2744,Two friends got together to make a secret handshake.,They forgot most of it the next time they tried it.,They didn't see each other for a short time.,They didn't see each other for a long time.,2
2745,Jenny was at a dinner party.,Jenny decided to leave the party early without telling anyone.,Jenny had a bad time and didn't enjoy herself.,Jenny had an awsome time and enjoyed herself so much.,1
2746,Dave loved to sail.,Dave was sad he couldn't take his trip.,Dave's sailing trip got cancelled due to weather.,Dave's sailing trip got extended due to weather.,1
2747,Timmy met up with his kids at the park.,The park became closed.,Timmy and his kids played at the park all day.,Timmy and his kids left the quickly.,1
2748,Juan worked out in the fields.,He got there just it time and now has a new pet.,Juan was running late before the butcher shop closed.,He was running late before the pet shop closed.,2
2749,I ordered peonies for my girlfriend for Valentines day.,They sent a new batch out the next day that were so great.,The peonies were all broken.,They flowers were tulips.,1
2750,Pat always wanted to see the world.,"Her parents were so proud, they flew over for a tour!",Pat found a job in a different country.,Pat found a job at a different country club.,1
2751,When Mary's husband died she was very lonely.,After mitten came into Mary's life she wasn't lonely any more.,She decided to adopt a cat to help keep her company.,She decided to adopt a rat to help keep her company.,1
2752,Mike tried to not think about his old pet fish but he couldn't.,Mike was happier once he got the fish in the tank.,He decided to go buy a new one.,"He decided he didnt need to go buy a new one."".",1
2753,Easton had a very important test coming up.,He missed his test.,He stood up all night trying to cram and then overslept.,Easton studied at night but woke up early to take the test.,1
2754,Stephanie and her boyfriend went hiking in a nearby nature preserve.,She looked for herself and discovered the map was for another park.,Stephanie noticed the map was showing the correct directions.,Stephanie noticed the map was showing the wrong directions.,2
2755,Michael forgot to study for his final.,Michael failed and learned to never cheat again.,The teacher caught a classmate taking answers from Michael.,The teacher caught Michael taking answers from a classmate.,2
